framewise_displacement	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	eddy_stdevs	original_file	grad_x	grad_y	grad_z	bval	image_mean	series_b0_mean	series_b0_correction	DWIDenoise_pre	DWIDenoise_post	DWIDenoise_change
n/a	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	sub-01_dwi.nii.gz	0.0	0.0	0.0	0.0	119.91949900013482	119.6546819508779	1.0	119.9024378631661	119.91949900013482	0.0130468547262161
0.32361988492800003	0.03012596679	-0.05038352042	0.004294202068	0.002428249456	0.001033466659	0.001314607798	-79.14514199999999	sub-01_dwi.nii.gz	1.0	0.0	-0.001	1000.0	39.68248013552366	119.6546819508779	1.0	39.69964059842687	39.68248013552366	0.0723850504545036
0.2826675308520001	0.02155744059	-0.2228399858	0.04235052084	0.001785357483	0.0009570844704	0.0007621575496	-78.52940400000001	sub-01_dwi.nii.gz	0.0	1.0	-0.001	1000.0	39.1162448034564	119.6546819508779	1.0	39.12516276041666	39.1162448034564	0.0732881887775432
0.32160120374	0.02329639989	0.03233198746	0.05881655117	0.001899659866	0.001238531549	0.001330892905	-70.739562	sub-01_dwi.nii.gz	-0.0262255	0.64828	-0.760951	1000.0	39.598229450313056	119.6546819508779	1.0	39.61144881129536	39.598229450313056	0.0726012926406283
0.36908876421	0.087360062	-0.01255178196	-0.02772988725	0.004029436037	0.0004285158648	0.001862998935	-68.200319	sub-01_dwi.nii.gz	-0.591194	0.76658	0.250688	1000.0	39.32417844802306	119.6546819508779	1.0	39.33017113095238	39.32417844802306	0.0738553688242375
0.18597706581999995	0.1052318349	-0.04616035322	-0.01983908741	0.005646683741	0.0006535288412	0.002552856691	-41.84331879999999	sub-01_dwi.nii.gz	0.236698	0.52487	0.81761	1000.0	39.25333114739604	119.6546819508779	1.0	39.26000478316327	39.25333114739604	0.0736100683169245
0.140630500287	0.09770014361	0.006037801667	-0.01390782548	0.005245512351	0.0006055001286	0.003603044432	-77.17743560000001	sub-01_dwi.nii.gz	0.893569	0.259084	0.366619	1000.0	39.50493051799644	119.6546819508779	1.0	39.50567779195011	39.50493051799644	0.0734398097843605
0.1947855998206	0.1033206311	0.1236568278	0.0007407813976	0.005863974337	0.001007771702	0.003485828405	-80.002541	sub-01_dwi.nii.gz	0.795584	0.128883	-0.591976	1000.0	39.70210858559882	119.6546819508779	1.0	39.703635425524375	39.70210858559882	0.0730210277277206
0.2313931661126	0.1241630303	-0.03905951879	-0.006156324925	0.006105761509	0.00107889995	0.003991659265	-75.17602600000001	sub-01_dwi.nii.gz	0.234334	0.929515	-0.284762	1000.0	39.33366388592765	119.6546819508779	1.0	39.333134034863946	39.33366388592765	0.0737406958950673
0.37301923023500005	0.113228732	0.1984108899	-0.03454916087	0.0066738436	0.001679818146	0.004747092724	-76.5100729	sub-01_dwi.nii.gz	0.935337	0.140106	-0.32483	1000.0	39.6590921784315	119.6546819508779	1.0	39.659880553784014	39.6590921784315	0.0732046567203996
0.37231354227	0.1016243103	-0.09200481708	-0.05674494976	0.006592980586	0.001407274394	0.004138546996	-74.80187989999999	sub-01_dwi.nii.gz	-0.505451	0.844674	-0.176198	1000.0	39.39128689323365	119.6546819508779	1.0	39.38793557787698	39.39128689323365	0.0739875350471571
0.14229434435	0.1136724633	-0.04326045856	-0.04750767766	0.006365635432	0.0005111407954	0.004460359458	-82.242996	sub-01_dwi.nii.gz	-0.345964	0.846989	-0.403631	1000.0	39.555318997966445	119.6546819508779	1.0	39.55599290497449	39.555318997966445	0.0735259656900911
0.17528061569000003	0.1381381209	0.04647449573	-0.06924135158	0.006182311568	0.0001780970488	0.004730918445	-72.70220300000001	sub-01_dwi.nii.gz	-0.456257	0.630385	-0.628047	1000.0	39.76105450911333	119.6546819508779	1.0	39.76080751310941	39.76105450911333	0.07321821844457
0.12677184726150004	0.1414311568	0.02457617831	-0.08853965266999998	0.007003399078	-2.957078323e-05	0.00534780696	-58.81568635	sub-01_dwi.nii.gz	0.487335	0.389497	0.781535	1000.0	39.46607957981897	119.6546819508779	1.0	39.46966012967687	39.46607957981897	0.0734721120351536
0.2018217499085	0.1480110663	-0.1138901754	-0.07352150902	0.006834364496	-0.0005956939422	0.00524781784	-64.17558389999999	sub-01_dwi.nii.gz	-0.617407	0.672574	-0.407987	1000.0	39.671656258808014	119.6546819508779	1.0	39.66925976119615	39.671656258808014	0.0735577480987388
0.41495333965	0.1493402845	0.1814833792	-0.0154032249	0.007423548494	-0.0005020658136	0.005767651368	-51.54241950000001	sub-01_dwi.nii.gz	0.576483	0.104994	-0.810335	1000.0	39.68629667464941	119.6546819508779	1.0	39.69164872980442	39.68629667464941	0.0731772700132655
